aardvarks,aardvark
abacuses,abacus
abalones,abalone
abandons,abandon
abates,abate
abattoirs,abattoir
abbeys,abbey
abbots,abbot
abbreviates,abbreviate
abbreviations,abbreviation
abductions,abduction
aberrations,aberration
abets,abet
abhors,abhor
abides,abide
abilities,ability
ablates,ablate
ablutions,ablution
abnormalities,abnormality
abodes,abode
abolishes,abolish
abolitionists,abolitionist
aboriginals,aboriginal
aborigines,aborigine
abortions,abortion
abortionists,abortionist
abounds,abound
abrades,abrade
abrasions,abrasion
abrasives,abrasive
abrogates,abrogate
abrogations,abrogation
abscesses,abscess
absconds,abscond
absconders,absconder
absences,absence
absents,absent
absentees,absentee
absolutes,absolute
absolves,absolve
absorbs,absorb
absorbents,absorbent
abstains,abstain
abstainers,abstainer
abstentions,abstention
abstracts,abstract
abstractions,abstraction
absurdities,absurdity
abundances,abundance
abusers,abuser
abuts,abut
abutments,abutment
acacias,acacia
academics,academic
academicians,academician
academies,academy
accedes,accede
accelerates,accelerate
accelerations,acceleration
accelerators,accelerator
accents,accent
accentuates,accentuate
accepts,accept
acceptances,acceptance
acceptations,acceptation
accesses,access
accessions,accession
accessorizes,accessorize
accessories,accessory
accidents,accident
accolades,accolade
accommodates,accommodate
accommodations,accommodation
accompaniments,accompaniment
accompanies,accompany
accomplices,accomplice
accomplishes,accomplish
accomplishments,accomplishment
accords,accord
accordions,accordion
accosts,accost
accounts,account
accountants,accountant
accredits,accredit
accretions,accretion
accruals,accrual
accrues,accrue
accumulates,accumulate
accumulations,accumulation
accumulators,accumulator
accusations,accusation
accuses,accuse
accusers,accuser
accustoms,accustom
aces,ace
acerbates,acerbate
acetates,acetate
aches,ache
achieves,achieve
achievements,achievement
achievers,achiever
acids,acid
acidifies,acidify
acknowledges,acknowledge
acknowledgments,acknowledgment
acmes,acme
acorns,acorn
acoustics,acoustic
acquaintances,acquaintance
acquiesces,acquiesce
acquires,acquire
acquirers,acquirer
acquisitions,acquisition
acquits,acquit
acquittals,acquittal
acres,acre
acreages,acreage
acrobats,acrobat
acrobatics,acrobatic
acronyms,acronym
acrylics,acrylic
acts,act
actions,action
activates,activate
activators,activator
actives,active
activists,activist
activities,activity
actors,actor
actresses,actress
actualities,actuality
actualizes,actualize
actuaries,actuary
actuates,actuate
actuators,actuator
acupuncturists,acupuncturist
ads,ad
adages,adage
adapts,adapt
adaptations,adaptation
adapters,adapter
adaptions,adaption
adds,add
addends,addend
adders,adder
addicts,addict
addictions,addiction
additions,addition
additives,additive
addresses,address
addressees,addressee
adduces,adduce
adenoids,adenoid
adepts,adept
adheres,adhere
adherents,adherent
adhesives,adhesive
adios,adio
adjectives,adjective
adjoins,adjoin
adjourns,adjourn
adjournments,adjournment
adjudicates,adjudicate
adjudications,adjudication
adjudicators,adjudicator
adjuncts,adjunct
adjusts,adjust
adjusters,adjuster
adjustments,adjustment
adjutants,adjutant
admins,admin
administers,administer
